alert_type,category,severity_label,severity_color,site_default,operations,executive,safety,full
"Tornado Warning",CRITICAL,Extreme,RED,OFF,ON,ON,ON,ON
"Severe Thunderstorm Warning",CRITICAL,Extreme,RED,OFF,ON,ON,ON,ON
"Flash Flood Warning",CRITICAL,Extreme,RED,OFF,ON,ON,ON,ON
"Hurricane Warning",CRITICAL,Extreme,RED,ON,ON,ON,ON,ON
"Typhoon Warning",CRITICAL,Extreme,RED,ON,ON,ON,ON,ON
"Extreme Wind Warning",CRITICAL,Extreme,RED,OFF,ON,ON,ON,ON
"Storm Surge Warning",CRITICAL,Extreme,RED,OFF,ON,ON,ON,ON
"Tsunami Warning",CRITICAL,Extreme,RED,ON,ON,ON,ON,ON
"Blizzard Warning",CRITICAL,Extreme,RED,ON,ON,ON,ON,ON
"Ice Storm Warning",CRITICAL,Extreme,RED,ON,ON,ON,ON,ON
"Dust Storm Warning",CRITICAL,Extreme,RED,OFF,ON,ON,ON,ON
"Avalanche Warning",CRITICAL,Extreme,RED,OFF,ON,ON,ON,ON
"Tornado Watch",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Severe Thunderstorm Watch",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Hurricane Watch",HIGH,Severe,ORANGE,ON,ON,OFF,ON,ON
"Typhoon Watch",HIGH,Severe,ORANGE,ON,ON,OFF,ON,ON
"Flood Warning",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Winter Storm Warning",HIGH,Severe,ORANGE,ON,ON,OFF,ON,ON
"High Wind Warning",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Excessive Heat Warning",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Extreme Cold Warning",HIGH,Severe,ORANGE,ON,ON,OFF,ON,ON
"Red Flag Warning",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Fire Warning",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Tropical Storm Warning",HIGH,Severe,ORANGE,ON,ON,OFF,ON,ON
"Storm Warning",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Gale Warning",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Heavy Freezing Spray Warning",HIGH,Severe,ORANGE,OFF,ON,OFF,ON,ON
"Flood Watch",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Winter Storm Watch",MODERATE,Moderate,YELLOW,ON,ON,OFF,ON,ON
"Winter Weather Advisory",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Wind Advisory",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Heat Advisory",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Dense Fog Advisory",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Freeze Warning",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Frost Advisory",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Lake Effect Snow Warning",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Lake Effect Snow Watch",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Blowing Dust Advisory",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Tropical Storm Watch",MODERATE,Moderate,YELLOW,ON,ON,OFF,ON,ON
"High Wind Watch",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"High Surf Warning",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Coastal Flood Warning",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Coastal Flood Watch",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Lakeshore Flood Warning",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Lakeshore Flood Watch",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Excessive Heat Watch",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Hard Freeze Warning",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Freeze Watch",MODERATE,Moderate,YELLOW,OFF,ON,OFF,ON,ON
"Wind Chill Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Wind Chill Watch",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Small Craft Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Brisk Wind Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Hazardous Seas Warning",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"High Surf Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Coastal Flood Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Lakeshore Flood Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Flood Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Beach Hazards Statement",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Rip Current Statement",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Cold Weather Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Freezing Fog Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Ashfall Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Air Quality Alert",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Dense Smoke Advisory",LOW,Minor,GREEN,OFF,OFF,OFF,ON,ON
"Special Weather Statement",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Marine Weather Statement",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Hydrologic Outlook",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Hazardous Weather Outlook",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Short Term Forecast",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Administrative Message",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,OFF
"Test",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,OFF
"Test Message",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Child Abduction Emergency",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Civil Danger Warning",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Civil Emergency Message",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Avalanche Watch",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Avalanche Advisory",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
"Fire Weather Watch",INFO,Minor,GREEN,OFF,OFF,OFF,OFF,ON
